city,biome,state,subsector,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,Total,source_name
AGUAS VERDES,Bosque seco ecuatorial [PerÃº],TUMBES,wastewater-treatment-and-discharge,635.1169025469517,643.8213847905868,653.596897453308,665.9729226805775,678.8133967924457,688.7375562596774,697.2310832928492,704.1405747205845,,5367.430718536981,
PARIÑAS,Bosque seco ecuatorial [PerÃº],PIURA,electricity-generation,,,,,,,,100000.0,,100000.0,
PARIÑAS,Bosque seco ecuatorial [PerÃº],PIURA,electricity-generation,,,,,,,,376000.0,,376000.0,
CHILCA,Desierto costero [PerÃº],LIMA,electricity-generation,,,,,469000.0,400000.0,480000.0,524000.0,,1873000.0,
LAMBRAMA,Andes [PerÃº],APURIMAC,cropland-fires,28011.05862130197,26509.683973993448,26070.84676851172,27986.63742653584,27899.678135447823,27268.241593879564,27140.136742390427,27140.136742390427,,218026.4200044512,
LAMBRAMA,Andes [PerÃº],APURIMAC,enteric-fermentation-cattle-pasture,45703.41158139009,45234.43769210581,45927.375201521005,46136.16505912638,46221.21753142784,48196.14112524181,47215.88750188673,47706.191033645504,,372340.8267263452,
LAMBRAMA,Andes [PerÃº],APURIMAC,forest-land-clearing,8228.68549494214,11992.4294821778,26757.5661459539,10411.3088377263,7270.72766803097,21766.533293739,10691.7433192736,12035.3577747287,,109154.35201657242,
LAMBRAMA,Andes [PerÃº],APURIMAC,forest-land-degradation,120.246060812858,796.406684607792,345.376080286594,276.509277549034,287.406166087545,606.110178443699,1138.70703705755,2104.55007864037,,5675.311563485442,
LAMBRAMA,Andes [PerÃº],APURIMAC,forest-land-fires,8121.33013916081,18123.00211585,8553.75304592744,6804.93501207096,10408.0838861649,41872.60217932,6767.7739130044,26438.887881891,,127090.36817338952,
LAMBRAMA,Andes [PerÃº],APURIMAC,manure-left-on-pasture-cattle,13154.723239423512,13019.739530561266,13219.18626502922,13279.281810470424,13303.76236049279,13872.200625566376,13590.056117448696,13731.179228232611,,107170.1291772249,
LAMBRAMA,Andes [PerÃº],APURIMAC,net-forest-land,,-36365.89676838,-210066.76320206,298671.36400578,-127107.92619201,8793.38394157,154058.06878677,-87826.71983012,,155.5107415500097,
LAMBRAMA,Andes [PerÃº],APURIMAC,net-shrubgrass,,-13526.5876413,-228448.0259197,276319.0304707,43355.124557,-12257.8037322,207305.6909785,-53294.5638778,,219452.8648352,
LAMBRAMA,Andes [PerÃº],APURIMAC,net-wetland,,-200.039766033,612.855609256,-734.410605171,2186.693531137,-2546.188252365,2890.689989914,-864.40461581,,1345.1958909279997,
LAMBRAMA,Andes [PerÃº],APURIMAC,removals,-52206.4814287227,-102422.993603239,-59046.3199906181,-38079.9296283675,-100312.703249987,-182197.029250794,-31460.9766345924,-207145.335730183,,-772871.7695165037,
LAMBRAMA,Andes [PerÃº],APURIMAC,shrubgrass-fires,30486.7584644753,51939.2822952516,13331.755954304,24761.3138523636,46691.3288577386,89868.1104114691,12777.4016265311,89453.5800686548,,359309.5315307881,
LAMBRAMA,Andes [PerÃº],APURIMAC,synthetic-fertilizer-application,,,,,,,4535.06592045365,4535.06592045365,,9070.1318409073,
LAMBRAMA,Andes [PerÃº],APURIMAC,wetland-fires,0.0,5.2085961101213,15.0973334187555,0.0,41.0792803764343,4.10451368490549,0.289923906326294,0.0,,65.77964749654288,
ABANCAY,Andes [PerÃº],APURIMAC,road-transportation,,,,,,,35800.970588770535,34774.652201828474,,70575.62279059901,
PARACAS,Desierto costero [PerÃº],ICA,steel,155772.0,165406.0,164730.0,159846.0,158184.0,93938.0,89071.0,0.0,0.0,986947.0,
PARACAS,Desierto costero [PerÃº],ICA,steel,0.0,0.0,0.0,0.0,0.0,0.0,130986.0,166671.0,44789.0,342446.0,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,cropland-fires,2243.1828309893845,2070.838266825689,2041.900034259501,2165.0949311527984,2164.137552907744,2089.481569201389,2075.6072440434777,2075.6072440434777,,16925.84967342346,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,enteric-fermentation-cattle-pasture,11366.406797142816,11249.20236319544,11421.682619388996,11473.089132342013,11496.576242525356,11986.302796736663,11743.894387147951,11866.062159688488,,92603.21649816772,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,forest-land-clearing,16.1042464966886,63.109597200056,34.2766828009518,134.162763545418,286.326545109783,40.7015011310577,131.683213233948,257.412291470441,,963.776840988344,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,forest-land-degradation,1.55901230641227,9.27782093976781,0.493971943855286,1.52317813406133,3.12962755610332,0.167483903773293,0.281213260080534,0.780329307525799,,17.212637351579644,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,forest-land-fires,45.4524364471436,154.35708828562,0.0,4.94497680664062,0.0,2.4575853983666,0.0,0.0,,207.2120869377708,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,manure-left-on-pasture-cattle,3271.570532123967,3237.835867302873,3287.4804711546494,3302.276710606438,3309.036986021282,3449.9939879393555,3380.2220560704272,3415.385338862477,,26653.80195008147,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,net-forest-land,,-1050.143884322,-2986.381296834,2355.035112986,-1506.376674795,5376.84162675,-4451.623592716,2590.807412178,,328.15870324699995,
ACOBAMBA,Andes [PerÃº],HUANCAVELICA,net-shrubgrass,,-50931.40274665,-62461.70121519,54448.11617793,-42154.26775907,151424.39646994,-97426.14134643,45183.87374426,,-1917.1266752099984,
